episode,reward,avg_reward,max_reward,min_reward,entropy,policy_loss,value_loss
174,-6.0,-14.37,4.0,-21.0,1.198139668442309,-0.03638798790052533,0.030484730363241397
175,-11.0,-14.29,4.0,-21.0,0.9828976704739034,-0.029417300698696636,0.031626483469153754
176,-16.0,-14.27,4.0,-21.0,0.848814545199275,-0.02374566344951745,0.03320978947158437
177,-7.0,-14.13,4.0,-21.0,1.0630134702660143,-0.028044267222867347,0.03202578800119227
178,-8.0,-14.06,4.0,-21.0,0.8739922968670726,-0.021582404369837604,0.03282226719602477
179,-10.0,-13.99,4.0,-21.0,0.933110895100981,-0.027889526361832395,0.032409103245299775
180,-14.0,-13.96,4.0,-21.0,1.1297513637691736,-0.03265836961509194,0.038562946327147074
181,-18.0,-13.97,4.0,-21.0,0.9704841040074825,-0.02887369716336252,0.03471006444306113
182,-10.0,-13.89,4.0,-21.0,1.1396497702226043,-0.03097528614307521,0.03719092048413586
183,-18.0,-13.91,4.0,-21.0,0.989276590757072,-0.02720006748859305,0.02979006756504532
184,-15.0,-13.88,4.0,-21.0,1.1705743530765176,-0.03560502734762849,0.03330383133288706
185,-4.0,-13.77,4.0,-21.0,1.0377609692513943,-0.03211999012273736,0.03910557804920245
186,-12.0,-13.7,4.0,-21.0,0.9751336295157671,-0.025900779859512113,0.03003246578737162
187,-11.0,-13.61,4.0,-21.0,0.9446798176504672,-0.025356618403748143,0.02957818014692748
188,-3.0,-13.44,4.0,-21.0,0.9385094782337546,-0.026074904366396368,0.031037400018249173
189,-15.0,-13.39,4.0,-21.0,0.9016557713039219,-0.023107152948796283,0.03265536895196419
190,-9.0,-13.33,4.0,-21.0,1.146360317710787,-0.03362467045371886,0.043991616839775816
191,-13.0,-13.31,4.0,-21.0,0.967530875466764,-0.026579466721159406,0.04038928671798203
192,-11.0,-13.23,4.0,-21.0,0.9152298644185066,-0.025532347164698876,0.029224628633528482
193,-6.0,-13.12,4.0,-21.0,0.9493837654590607,-0.024389831538428552,0.03284157702000812
194,-8.0,-13.02,4.0,-21.0,0.8955850661732256,-0.02524122499744408,0.028324763166892808
195,-8.0,-12.92,4.0,-21.0,0.8750292491167784,-0.024459051448502578,0.03412829114677152
196,-10.0,-12.86,4.0,-21.0,0.9456206657923758,-0.028260589417186566,0.035126780305290595
197,-5.0,-12.74,4.0,-21.0,0.7818412315100431,-0.022240513033466414,0.030668771447381005
198,-10.0,-12.67,4.0,-21.0,1.0672156270593405,-0.030948611281928606,0.04012472353497287
199,-19.0,-12.67,4.0,-21.0,0.7159208315424621,-0.02176677278475836,0.033023284377122764
200,-14.0,-12.61,4.0,-21.0,0.8803852163255215,-0.02593908084963914,0.027635142774670385
201,-9.0,-12.5,4.0,-21.0,1.0013677645474672,-0.02431090478785336,0.03431921670562588
202,7.0,-12.27,7.0,-21.0,0.9514468763954937,-0.029538626549765468,0.0260216831593425
203,-11.0,-12.17,7.0,-21.0,1.0204623909667134,-0.03140854657976888,0.04070758480520453
204,-5.0,-12.04,7.0,-21.0,0.7987919067963958,-0.0251185959787108,0.03110154341266025
205,2.0,-11.9,7.0,-21.0,1.1535255089402199,-0.03525431078742258,0.035329614744114224
206,-2.0,-11.8,7.0,-21.0,1.0498632220551372,-0.030524307454470545,0.03673713549505919
207,-8.0,-11.71,7.0,-21.0,1.2130702063441277,-0.034286013833479956,0.045941835167468525
208,-11.0,-11.67,7.0,-21.0,1.1135217971168458,-0.031916587526211515,0.0321447223686846
